,mean,std,time,k
0,0.9952,0.0042500000000000055,6206,1
1,0.995,0.004873397172404475,6269,2
2,0.9958,0.005249999999999987,6925,3
3,0.9952,0.006067330549755805,7160,4
4,0.9955,0.005099019513592775,7361,5
5,0.9948,0.005528336096873984,7319,6
6,0.9945,0.005678908345800266,7598,7
7,0.994,0.0062449979983984025,7053,8
8,0.9938,0.006250000000000005,7300,9
9,0.9938,0.0065431261641512115,7255,10
10,0.9938,0.00583630876496438,7500,11
11,0.9935,0.006244997998398395,7279,12
12,0.9932,0.006427480066091213,7355,13
13,0.993,0.006403124237432842,7283,14
14,0.993,0.005787918451395119,7334,15
15,0.9928,0.0068419660917020085,7417,16
16,0.9922,0.007110731326663946,7064,17
17,0.992,0.006403124237432858,7083,18
18,0.9922,0.006841966091702004,8049,19
19,0.9918,0.006805328794408102,7351,20
20,0.9925,0.005809475019311125,7631,21
21,0.992,0.0063047601064592585,7445,22
22,0.992,0.0063047601064592585,7710,23
23,0.9913,0.006914658342969666,7719,24
24,0.9915,0.006442049363362574,7484,25
25,0.9912,0.006250000000000006,7820,26
26,0.9915,0.006244997998398404,7405,27
27,0.9908,0.006427480066091224,7807,28
28,0.991,0.006344288770224765,7611,29
29,0.9905,0.00640312423743286,7763,30
30,0.9905,0.00640312423743286,7604,31
31,0.9893,0.0068053287944080994,8497,32
32,0.9902,0.006932712311931022,8092,33
33,0.9895,0.0064031242374328395,7831,34
34,0.9892,0.006619101147436861,8710,35
35,0.9885,0.0067268120235368534,8411,36
36,0.988,0.006873863542433756,7895,37
37,0.988,0.006782329983125269,7596,38
38,0.9875,0.007745966692414837,7554,39
39,0.9868,0.00790964600977819,7738,40
40,0.987,0.007566372975210772,8069,41
41,0.987,0.007566372975210772,7556,42
42,0.9875,0.0072456883730947184,7428,43
43,0.9868,0.007335700375560604,7793,44
44,0.987,0.007053367989832947,7883,45
45,0.9862,0.007267220926874334,7608,46
46,0.986,0.00734846922834955,7463,47
47,0.9862,0.007267220926874334,8215,48
48,0.9862,0.007603453162872784,8436,49
49,0.9858,0.00742041103982793,7599,50
50,0.9855,0.007810249675906661,8022,51
51,0.9855,0.007810249675906661,7607,52
52,0.9852,0.008097067370350838,7969,53
53,0.9855,0.007810249675906661,7679,54
54,0.9848,0.008173891362135925,8038,55
55,0.985,0.007905694150420958,8166,56
56,0.985,0.007905694150420958,7838,57
57,0.9848,0.008173891362135925,7883,58
58,0.985,0.008139410298049871,7923,59
59,0.9842,0.008663861725581756,7685,60
60,0.9842,0.008947765084086661,8345,61
61,0.984,0.00895823643358448,7752,62
62,0.984,0.00895823643358448,8151,63
63,0.984,0.00895823643358448,8230,64
64,0.984,0.00895823643358448,7606,65
65,0.9838,0.008961724164467482,8076,66
66,0.9838,0.008961724164467482,7972,67
67,0.9838,0.008961724164467482,7975,68
68,0.984,0.00895823643358448,8210,69
69,0.9835,0.009300537618869165,8142,70
70,0.9838,0.009303897032964225,8173,71
71,0.9835,0.00909670269933015,8213,72
72,0.9825,0.010000000000000023,8004,73
73,0.982,0.010111874208078363,8006,74
74,0.982,0.010049875621120913,8074,75
75,0.9822,0.009775607398008593,8157,76
76,0.9822,0.009775607398008593,8165,77
77,0.9822,0.010455261833163256,8160,78
78,0.9822,0.010455261833163256,8085,79
79,0.982,0.010234744745229368,8101,80
80,0.9815,0.010500000000000015,8374,81
81,0.9818,0.010491067629178657,7770,82
82,0.9815,0.010500000000000015,8171,83
83,0.9818,0.010491067629178657,8053,84
84,0.9815,0.010500000000000015,8219,85
85,0.9818,0.01006541106959872,8222,86
86,0.9815,0.01055935604097145,8193,87
87,0.9815,0.01055935604097145,8156,88
88,0.9815,0.01055935604097145,7865,89
89,0.9818,0.010127314550264568,8003,90
90,0.9818,0.010127314550264568,7779,91
91,0.9815,0.01013656746635667,7921,92
92,0.9815,0.01055935604097145,8050,93
93,0.9818,0.010127314550264568,7801,94
94,0.9815,0.01025914226434162,8026,95
95,0.9815,0.01025914226434162,7828,96
96,0.9813,0.010680004681646928,7815,97
97,0.9813,0.010680004681646928,7778,98
98,0.981,0.010319883720275154,8002,99
